ticker,security_type,name,valid_from,valid_to
MOH,EQUITY,Molina Healthcare Inc,2003-07-02,
MRO,EQUITY,Marathon Oil Corporation,1970-01-02,2024-11-22
MRVL,EQUITY,Marvell Technology Inc,2000-06-30,
MTCH,EQUITY,Match Group Inc - New,2015-11-19,
MTG,EQUITY,MGIC Investment Corp,1991-08-07,
MTW,EQUITY,Manitowoc Co. Inc,1990-03-26,
MUR,EQUITY,Murphy Oil Corp,1983-04-06,
MWV,EQUITY,MeadWestvaco Corp,1985-07-01,2015-07-01
MWW,EQUITY,Monster Worldwide Inc,2008-11-11,2016-11-09
MXIM,EQUITY,Maxim Integrated Products Inc,1990-03-26,2021-09-01
MYL,EQUITY,Mylan N.V.,1987-12-18,2020-11-19
NAV,EQUITY,Navistar International Corp,1970-01-02,2021-06-30
NAVI,EQUITY,Navient Corp,2014-04-17,
NBL,EQUITY,Noble Energy Inc,1982-01-04,2020-10-06
NBR,EQUITY,Nabors Industries Ltd,1991-02-28,
NC,EQUITY,Nacco Industries Inc - Class A,1977-06-17,
NE,EQUITY,Noble Corp Plc - Class A,2021-06-09,
NKTR,EQUITY,Nektar Therapeutics,1994-05-03,
NLSN,EQUITY,Nielsen Holdings plc,2011-01-27,2022-10-11
NOV,EQUITY,NOV Inc,1996-10-29,
NWL,EQUITY,Newell Brands Inc,1984-07-19,
NYT,EQUITY,New York Times Co. - Class A,1973-05-03,
NYX,EQUITY,NYSE Euronext,2007-06-04,2013-11-12
ODP,EQUITY,ODP Corporation (The),1990-03-26,
OGN,EQUITY,Organon & Company,2021-05-14,
OI,EQUITY,O-I Glass Inc,1991-12-11,
OMX,EQUITY,OFFICEMAX INC,2006-12-28,2013-11-05
PARA,EQUITY,Paramount Global - Class B,2006-01-03,2025-08-07
PAYC,EQUITY,Paycom Software Inc,2014-04-15,
PBCT,EQUITY,People`s United Financial Inc,1990-03-26,2022-04-04
PBG,EQUITY,PEPSI BOTTLING GROUP INC,2001-01-02,2011-03-07
PBI,EQUITY,Pitney Bowes Inc,1972-06-01,
PCH,EQUITY,PotlatchDeltic Corp,1985-11-11,2026-02-02
